Zip Code,Unemployment Rate (%)
33777,2.5
33778,3.2
33781,4.9
33782,5.2
33785,4.0
33786,3.1
33801,7.1
33803,3.5
33805,7.4
33807,Unavailable
33809,5.1
33810,5.5
33811,3.8
33812,1.9
33813,3.7
33815,5.2
33823,4.5
33825,7.5
33827,5.6
33830,4.4
33834,7.1
33835,Unavailable
33837,5.2
33838,0.2
33839,4.0
33841,5.9
33843,5.6
33844,3.2
33846,Unavailable
33847,Unavailable
33848,Unavailable
33849,8.4
33850,6.7
33851,Unavailable
33852,5.0
33853,6.3
33854,4.5
33855,Unavailable
33856,20.2
33857,Unavailable
33859,3.4
33860,3.7
33863,Unavailable
33865,12.2
33867,Unavailable
33868,4.1
33870,10.4
33872,5.6
33873,8.9
33875,4.9
33876,3.2
33877,Unavailable
33880,4.4
33881,5.4
33884,3.9
33888,Unavailable
33890,8.5
33896,4.0
33897,3.8
33898,6.0
338MX,5.3
33901,4.2
33902,Unavailable
33903,6.9
33904,4.7
33905,4.1
33906,Unavailable
33907,5.3
33908,3.2
33909,5.1
33912,1.6
33913,2.8
33914,3.7
33916,5.7
33917,4.5
33919,3.9
33920,4.6
33921,Unavailable
33922,3.6
33924,Unavailable
33928,4.1
33930,Unavailable
33931,3.0
33935,6.0
33936,7.6
33944,Unavailable
33946,1.0
33947,4.0
33948,7.5
33950,4.7
33952,7.4
33953,4.1
33954,4.3
33955,3.3
33956,10.4
33957,4.6
33960,Unavailable
33965,10.7
33966,5.2
33967,2.7
33971,4.6
33972,8.7
33973,4.8
33974,2.8
33976,5.3
33980,4.6
33981,1.9
33982,6.6
33983,8.1
33990,5.2
33991,3.9
33993,4.4
34101,Unavailable
34102,2.4
34103,2.0
34104,4.4
34105,1.2
34108,2.8
34109,3.4
34110,1.4
34112,7.0
34113,4.3
34114,4.6
34116,4.4
34117,9.9
34119,4.6
34120,2.6
34134,1.9
34135,3.7
34138,Unavailable
34139,Unavailable
34140,Unavailable
34141,Unavailable
34142,5.6
34145,4.0
341MH,5.3
341MX,5.3
34201,4.9
34202,2.2
34203,6.6
34205,6.0
34207,9.2
34208,6.9
34209,3.7
34210,8.3
34211,3.6
34212,4.0
34215,Unavailable
34216,Unavailable
34217,2.5
34219,3.2
34221,5.6
34222,4.3
34223,3.6
34224,6.5
34228,3.8
34229,2.6
34231,4.8
34232,2.7
34233,3.0
34234,5.2
34235,2.3
34236,4.2
34237,1.5
34238,4.1
34239,4.9
34240,1.0
34241,2.7
34242,3.8
34243,4.1
34250,Unavailable
34251,2.3
34266,10.2
34267,Unavailable
